,Buying,Maintenance,Doors,Person,lug_boot,safety,class
0,4,4,2,2,1,1,unacc
1,4,4,2,2,1,2,unacc
2,4,4,2,2,1,3,unacc
3,4,4,2,2,2,1,unacc
4,4,4,2,2,2,2,unacc
5,4,4,2,2,2,3,unacc
6,4,4,2,2,3,1,unacc
7,4,4,2,2,3,1,unacc
8,4,4,2,2,3,2,unacc
9,4,4,2,2,3,3,unacc
10,4,4,2,4,1,1,unacc
11,4,4,2,4,1,2,unacc
12,4,4,2,4,1,2,unacc
13,4,4,2,4,1,3,unacc
14,4,4,2,4,2,1,unacc
15,4,4,2,4,2,2,unacc
16,4,4,2,4,2,3,unacc
17,4,4,2,4,3,1,unacc
18,4,4,2,4,3,2,unacc
19,4,4,2,4,3,3,unacc
20,4,4,2,6,1,1,unacc
21,4,4,2,6,1,2,unacc
22,4,4,2,6,1,3,unacc
23,4,4,2,6,2,1,unacc
24,4,4,2,6,2,2,unacc
25,4,4,2,6,2,3,unacc
26,4,4,2,6,3,1,unacc
27,4,4,2,6,3,1,unacc
28,4,4,2,6,3,2,unacc
29,4,4,2,6,3,3,unacc
30,4,4,3,2,1,1,unacc
31,4,4,3,2,1,2,unacc
32,4,4,3,2,1,3,unacc
33,4,4,3,2,2,1,unacc
34,4,4,3,2,2,2,unacc
35,4,4,3,2,2,3,unacc
36,4,4,3,2,3,1,unacc
37,4,4,3,2,3,2,unacc
38,4,4,3,2,3,3,unacc
39,4,4,3,4,1,1,unacc
40,4,4,3,4,1,2,unacc
41,4,4,3,4,1,3,unacc
42,4,4,3,4,1,3,unacc
43,4,4,3,4,2,1,unacc
44,4,4,3,4,2,2,unacc
45,4,4,3,4,2,3,unacc
46,4,4,3,4,3,1,unacc
47,4,4,3,4,3,2,unacc
48,4,4,3,4,3,3,unacc
49,4,4,3,6,1,2,unacc
50,4,4,3,6,1,3,unacc
51,4,4,3,6,1,3,unacc
52,4,4,3,6,2,1,unacc
53,4,4,3,6,2,2,unacc
54,4,4,3,6,2,3,unacc
55,4,4,3,6,3,1,unacc
56,4,4,3,6,3,2,unacc
57,4,4,3,6,3,3,unacc
58,4,4,4,2,1,1,unacc
59,4,4,4,2,1,1,unacc
60,4,4,4,2,1,2,unacc
61,4,4,4,2,1,3,unacc
62,4,4,4,2,2,1,unacc
63,4,4,4,2,2,2,unacc
64,4,4,4,2,2,3,unacc
65,4,4,4,2,3,1,unacc
66,4,4,4,2,3,2,unacc
67,4,4,4,2,3,3,unacc
68,4,4,4,4,1,1,unacc
69,4,4,4,4,1,2,unacc
70,4,4,4,4,1,3,unacc
71,4,4,4,4,2,1,unacc
72,4,4,4,4,2,2,unacc
73,4,4,4,4,2,3,unacc
74,4,4,4,4,3,1,unacc
75,4,4,4,4,3,2,unacc
76,4,4,4,4,3,3,unacc
77,4,4,4,6,1,1,unacc
78,4,4,4,6,1,2,unacc
79,4,4,4,6,1,3,unacc
80,4,4,4,6,2,1,unacc
81,4,4,4,6,2,2,unacc
82,4,4,4,6,2,3,unacc
83,4,4,4,6,3,1,unacc
84,4,4,4,6,3,2,unacc
85,4,4,4,6,3,3,unacc
86,4,4,5,2,1,1,unacc
87,4,4,5,2,1,2,unacc
88,4,4,5,2,1,3,unacc
89,4,4,5,2,2,1,unacc
90,4,4,5,2,2,2,unacc
91,4,4,5,2,2,3,unacc
92,4,4,5,2,3,1,unacc
93,4,4,5,2,3,2,unacc
94,4,4,5,2,3,3,unacc
95,4,4,5,4,1,1,unacc
96,4,4,5,4,1,2,unacc
97,4,4,5,4,1,3,unacc
98,4,4,5,4,2,1,unacc
99,4,4,5,4,2,2,unacc
100,4,4,5,4,2,3,unacc
101,4,4,5,4,3,1,unacc
102,4,4,5,4,3,2,unacc
103,4,4,5,4,3,3,unacc
104,4,4,5,6,1,1,unacc
105,4,4,5,6,1,2,unacc
106,4,4,5,6,1,3,unacc
107,4,4,5,6,2,1,unacc
108,4,4,5,6,2,2,unacc
109,4,4,5,6,2,3,unacc
110,4,4,5,6,3,1,unacc
111,4,4,5,6,3,2,unacc
112,4,4,5,6,3,3,unacc
113,4,3,2,2,1,1,unacc
114,4,3,2,2,1,2,unacc
115,4,3,2,2,1,3,unacc
116,4,3,2,2,2,1,unacc
117,4,3,2,2,2,2,unacc
118,4,3,2,2,2,3,unacc
119,4,3,2,2,3,1,unacc
120,4,3,2,2,3,2,unacc
121,4,3,2,2,3,3,unacc
122,4,3,2,4,1,1,unacc
123,4,3,2,4,1,2,unacc
